source,dim,field,water,famly,species,type,prey_cellularity,vert,major_grouping_prey_1,major_grouping_prey_2,prey,prey_species,prey_type,data_type,replace_prey,starvation_time,temp,interference,preds_per_arena,arena_2d,arena_3d,pred_mass,pred_mass_source_code,pred_mass_reg_code,prey_mass,prey_mass_source_code,prey_mass_reg_code,a_units,mean_r2_of_fits,a,a_low,a_hi,h,h_low,h_hi,n_boots,notes_1,notes_2
Gustafsson et al 2010 ECOL FRE FISH,2,,Fresh,Salmoniformes,Salmo trutta,Adult B,Metazoan,Invertebrate,Crustacean,Amphipod,,Gammarus spp.,dead,Mean,N,24,10,,1,5000,125000,1.79E+04,Original species length,Species,3.10E+00,Original species mass,,m^2 per pred per day,0.39,5.52E+03,3.62E+03,1.02E+04,2.65E-05,2.32E-05,3.10E-05,200,,
Gustafsson et al 2010 ECOL FRE FISH,2,,Fresh,Salmoniformes,Salmo trutta,Adult C,Metazoan,Invertebrate,Crustacean,Amphipod,,Gammarus spp.,dead,Mean,N,24,10,,1,5000,125000,5.90E+04,Original species length,Species,3.10E+00,Original species mass,,m^2 per pred per day,0.93,3.08E+03,3.08E+03,3.08E+03,1.56E-05,1.56E-05,1.56E-05,200,,
O'Brien et al 2001 CAN J FISH AQUAT RES,3,,Fresh,Salmoniformes,Thymallus arcticus,Adult,Metazoan,Invertebrate,Crustacean,Cladoceran,Daphnia,Daphnia middendorffiana,,Mean,Y,,12,,1,,500000,5.17E+05,Original species length,Species,1.48E+00,Original species length,Order,m^3 per pred per day,0.74,4.21E+02,2.11E+02,9.05E+02,1.46E-05,1.20E-05,1.70E-05,200,,
O'Brien et al 2001 CAN J FISH AQUAT RES,3,,Fresh,Salmoniformes,Thymallus arcticus,Adult,Metazoan,Invertebrate,Crustacean,Cladoceran,Daphnia,Daphnia middendorffiana,,Mean,Y,,12,,1,,500000,5.17E+05,Original species length,Species,1.48E+00,Original species length,Order,m^3 per pred per day,0.72,5.55E+02,3.16E+02,9.96E+02,1.43E-05,1.14E-05,1.74E-05,200,,
O'Brien et al 2001 CAN J FISH AQUAT RES,3,,Fresh,Salmoniformes,Thymallus arcticus,Adult,Metazoan,Invertebrate,Crustacean,Cladoceran,Daphnia,Daphnia middendorffiana,,Mean,Y,,12,,1,,500000,5.17E+05,Original species length,Species,1.48E+00,Original species length,Order,m^3 per pred per day,0.81,4.82E+02,1.66E+02,1.17E+03,1.69E-05,9.33E-06,2.85E-05,200,,
Buckel and Stoner 2000 J EXP MAR BIO ECOL,3,,Marine,Perciformes,Pomatomus saltatrix,Young of the year A,Metazoan,Vertebrate,Fish,Atherinopsidae,Atlantic silverside,Menidia menidia,Juvenile A,Mean,N,12,20.5,,1,,2492853.77,6.52E+03,Original species length,Species,1.74E+02,Original species length,Species,m^3 per pred per day,0.77,3.43E+01,2.79E+01,4.10E+01,1.01E-02,7.77E-03,1.27E-02,200,,
Buckel and Stoner 2000 J EXP MAR BIO ECOL,3,,Marine,Perciformes,Pomatomus saltatrix,Young of the year B,Metazoan,Vertebrate,Fish,Moronidae,Striped bass,Morone saxatilis,Juvenile A,Mean,N,12,20.5,,1,,2492853.77,7.70E+03,Original species length,Species,1.74E+02,Original species length,Species,m^3 per pred per day,0.67,3.08E+01,2.24E+01,4.56E+01,6.42E-03,2.74E-03,9.83E-03,200,,
Buckel and Stoner 2000 J EXP MAR BIO ECOL,3,,Marine,Perciformes,Pomatomus saltatrix,Young of the year C,Metazoan,Vertebrate,Fish,Atherinopsidae,Atlantic silverside,Menidia menidia,Juvenile B,Mean,N,24,20.5,,1,,2492853.77,4.60E+04,Original species length,Species,1.20E+03,Original species length,Species,m^3 per pred per day,0.66,1.71E+01,1.06E+01,2.89E+01,6.27E-03,2.51E-11,1.28E-02,200,,
Buckel and Stoner 2000 J EXP MAR BIO ECOL,3,,Marine,Perciformes,Pomatomus saltatrix,Young of the year D,Metazoan,Vertebrate,Fish,Moronidae,Striped bass,Morone saxatilis,Juvenile B,Mean,N,24,20.5,,1,,2492853.77,4.46E+04,Original species length,Species,1.50E+03,Original species length,Species,m^3 per pred per day,0.11,3.89E+01,2.17E+01,2.27E+02,1.96E-02,1.48E-02,2.58E-02,200,,
Anderson 2001 ECOLOGY,3,,Marine,Perciformes,Paralabrax clathratus,,Metazoan,Vertebrate,Fish,Embiotocidae,Kelp perch,Brachyistius frenatus,Juvenile,Raw data,N,,,,2,,5000000,9.36E+04,Original species length,Species,2.75E+03,Original species length,Family,m^3 per pred per day,0.31,1.87E+00,9.67E-01,6.34E+00,1.06E-01,2.70E-02,2.01E-01,200,No kelp,
