source,dim,field,water,famly,species,type,prey_cellularity,vert,major_grouping_prey_1,major_grouping_prey_2,prey,prey_species,prey_type,data_type,replace_prey,starvation_time,temp,interference,preds_per_arena,arena_2d,arena_3d,pred_mass,pred_mass_source_code,pred_mass_reg_code,prey_mass,prey_mass_source_code,prey_mass_reg_code,a_units,mean_r2_of_fits,a,a_low,a_hi,h,h_low,h_hi,n_boots,notes_1,notes_2
Alanis et al 2009 BRAZ ARCH BIOL & TECH,3,,Fresh,Characiformes,Moenkhausia sanctaefilomenae,5wk old larva,Metazoan,Invertebrate,Rotifer,,Rotifer,Brachionus calyciflorus,,Mean,N,6,23,,1,,25,,,,2.00E-04,Alternate species mass,,m^3 per pred per day,0.73,1.15E-03,8.61E-04,1.64E-03,5.26E-04,4.72E-04,5.75E-04,200,,
Alanis et al 2009 BRAZ ARCH BIOL & TECH,3,,Fresh,Characiformes,Moenkhausia sanctaefilomenae,1wk old larva,Metazoan,Invertebrate,Rotifer,,Rotifer,Brachionus havanaensis,,Mean,N,6,23,,1,,25,,,,2.40E-03,Original species length,Zooplankton,m^3 per pred per day,0.21,4.71E-04,1.55E-04,5.86E-03,4.18E-04,2.40E-11,1.07E-03,200,,
Alanis et al 2009 BRAZ ARCH BIOL & TECH,3,,Fresh,Characiformes,Moenkhausia sanctaefilomenae,2wk old larva,Metazoan,Invertebrate,Rotifer,,Rotifer,Brachionus havanaensis,,Mean,N,6,23,,1,,25,,,,2.40E-03,Original species length,Zooplankton,m^3 per pred per day,0.42,3.85E-04,1.82E-04,1.14E-03,4.35E-04,1.63E-04,7.27E-04,200,,
Alanis et al 2009 BRAZ ARCH BIOL & TECH,3,,Fresh,Characiformes,Moenkhausia sanctaefilomenae,3wk old larva,Metazoan,Invertebrate,Rotifer,,Rotifer,Brachionus havanaensis,,Mean,N,6,23,,1,,25,,,,2.40E-03,Original species length,Zooplankton,m^3 per pred per day,0.66,1.24E-03,8.84E-04,1.79E-03,2.75E-04,2.34E-04,3.23E-04,200,,
Alanis et al 2009 BRAZ ARCH BIOL & TECH,3,,Fresh,Characiformes,Moenkhausia sanctaefilomenae,4wk old larva,Metazoan,Invertebrate,Rotifer,,Rotifer,Brachionus havanaensis,,Mean,N,6,23,,1,,25,,,,2.40E-03,Original species length,Zooplankton,m^3 per pred per day,0.89,1.09E-03,9.36E-04,1.38E-03,1.77E-04,1.60E-04,1.95E-04,200,,
Alanis et al 2009 BRAZ ARCH BIOL & TECH,3,,Fresh,Characiformes,Moenkhausia sanctaefilomenae,5wk old larva,Metazoan,Invertebrate,Rotifer,,Rotifer,Brachionus havanaensis,,Mean,N,6,23,,1,,25,,,,2.40E-03,Original species length,Zooplankton,m^3 per pred per day,0.95,1.00E-03,8.81E-04,1.17E-03,1.19E-04,1.08E-04,1.27E-04,200,,
Alanis et al 2009 BRAZ ARCH BIOL & TECH,3,,Fresh,Characiformes,Moenkhausia sanctaefilomenae,1wk old larva,Metazoan,Invertebrate,Rotifer,,Rotifer,Brachionus patulus,,Mean,N,6,23,,1,,25,,,,1.50E-04,Alternate species mass,,m^3 per pred per day,0.49,2.19E-04,1.21E-04,4.78E-04,1.17E-03,8.27E-04,1.50E-03,200,,
Alanis et al 2009 BRAZ ARCH BIOL & TECH,3,,Fresh,Characiformes,Moenkhausia sanctaefilomenae,2wk old larva,Metazoan,Invertebrate,Rotifer,,Rotifer,Brachionus patulus,,Mean,N,6,23,,1,,25,,,,1.50E-04,Alternate species mass,,m^3 per pred per day,0.74,9.63E-04,6.74E-04,1.33E-03,5.20E-04,4.70E-04,5.68E-04,200,,
Alanis et al 2009 BRAZ ARCH BIOL & TECH,3,,Fresh,Characiformes,Moenkhausia sanctaefilomenae,3wk old larva,Metazoan,Invertebrate,Rotifer,,Rotifer,Brachionus patulus,,Mean,N,6,23,,1,,25,,,,1.50E-04,Alternate species mass,,m^3 per pred per day,0.51,2.99E-03,2.06E-03,4.52E-03,4.49E-04,4.23E-04,4.80E-04,200,,
Alanis et al 2009 BRAZ ARCH BIOL & TECH,3,,Fresh,Characiformes,Moenkhausia sanctaefilomenae,4wk old larva,Metazoan,Invertebrate,Rotifer,,Rotifer,Brachionus patulus,,Mean,N,6,23,,1,,25,,,,1.50E-04,Alternate species mass,,m^3 per pred per day,0.77,2.14E-03,1.76E-03,2.70E-03,3.80E-04,3.54E-04,4.03E-04,200,,
Alanis et al 2009 BRAZ ARCH BIOL & TECH,3,,Fresh,Characiformes,Moenkhausia sanctaefilomenae,5wk old larva,Metazoan,Invertebrate,Rotifer,,Rotifer,Brachionus patulus,,Mean,N,6,23,,1,,25,,,,1.50E-04,Alternate species mass,,m^3 per pred per day,0.84,1.77E-03,1.43E-03,2.21E-03,3.30E-04,3.07E-04,3.57E-04,200,,
Alanis et al 2009 BRAZ ARCH BIOL & TECH,3,,Fresh,Characiformes,Moenkhausia sanctaefilomenae,1wk old larva,Metazoan,Invertebrate,Rotifer,,Rotifer,Brachionus rubens,,Mean,N,6,23,,1,,25,,,,1.50E-04,Alternate species mass,,m^3 per pred per day,0.32,2.32E-04,1.11E-04,1.05E-03,1.43E-03,8.81E-04,2.25E-03,200,,
Alanis et al 2009 BRAZ ARCH BIOL & TECH,3,,Fresh,Characiformes,Moenkhausia sanctaefilomenae,2wk old larva,Metazoan,Invertebrate,Rotifer,,Rotifer,Brachionus rubens,,Mean,N,6,23,,1,,25,,,,1.50E-04,Alternate species mass,,m^3 per pred per day,0.78,1.23E-04,7.63E-05,2.21E-04,3.54E-04,4.83E-05,6.11E-04,200,,
Alanis et al 2009 BRAZ ARCH BIOL & TECH,3,,Fresh,Characiformes,Moenkhausia sanctaefilomenae,3wk old larva,Metazoan,Invertebrate,Rotifer,,Rotifer,Brachionus rubens,,Mean,N,6,23,,1,,25,,,,1.50E-04,Alternate species mass,,m^3 per pred per day,0.4,5.28E-04,2.72E-04,1.07E-03,8.76E-04,6.30E-04,1.16E-03,200,,
Alanis et al 2009 BRAZ ARCH BIOL & TECH,3,,Fresh,Characiformes,Moenkhausia sanctaefilomenae,4wk old larva,Metazoan,Invertebrate,Rotifer,,Rotifer,Brachionus rubens,,Mean,N,6,23,,1,,25,,,,1.50E-04,Alternate species mass,,m^3 per pred per day,0.57,7.20E-04,4.81E-04,1.18E-03,6.77E-04,5.74E-04,7.68E-04,200,,
Alanis et al 2009 BRAZ ARCH BIOL & TECH,3,,Fresh,Characiformes,Moenkhausia sanctaefilomenae,5wk old larva,Metazoan,Invertebrate,Rotifer,,Rotifer,Brachionus rubens,,Mean,N,6,23,,1,,25,,,,1.50E-04,Alternate species mass,,m^3 per pred per day,0.62,1.23E-03,9.00E-04,2.21E-03,5.63E-04,5.05E-04,6.34E-04,200,,
Ware 1972 J FISH RES BOARD CAN,3,,Fresh,Salmoniformes,Oncorhynchus mykiss,Wild caught,Metazoan,Invertebrate,Crustacean,Amphipod,Amphipod,Crangonyx richmondensis,,Raw data,N,48,10,,1,,227000,3.71E+04,Original species length,Species,5.20E+00,Original species mass,,m^3 per pred per day,0.6,3.53E+02,2.51E+02,4.57E+02,1.26E-05,9.78E-06,1.53E-05,200,,
Ryer et al 2002 CJFAS,3,,Marine,Gadiformes,Gadus chalcogrammus,Juvenile,Metazoan,Invertebrate,Crustacean,Branchiopod,Shrimp,Artemia spp.,,Mean,N,19,11,,1,,93000,3.26E+03,Original species length,Species,,,,m^3 per pred per day,0.68,1.11E+00,8.08E-01,1.67E+00,1.71E-05,1.85E-12,4.81E-05,200,,
Ryer et al 2002 CJFAS,3,,Marine,Scorpaeniformes,Anoplopoma fimbria,Juvenile,Metazoan,Invertebrate,Crustacean,Branchiopod,Shrimp,Artemia spp.,,Mean,N,19,11,,1,,93000,5.05E+03,Original species length,Species,,,,m^3 per pred per day,0.66,1.30E+00,8.29E-01,2.15E+00,1.27E-05,1.23E-12,3.05E-05,200,,
Murray et al 2013 ETHOLOGY,3,,Fresh,Cypriniformes,Rutilus rutilus,>1 year old,Non living food,Non living food,Non living food,,fish-meal-based pellets,,pellets,Mean,N,24,18,,3,,20000,2.05E+04,Original species mass,,4.10E+00,75 pellets approx. 1.5% pred mass,,m^3 per pred per day,0.51,7.57E+01,2.86E+01,2.52E+02,5.56E-06,6.69E-07,1.04E-05,200,pellets not prey,
Murdoch et al 1975 ECOLOGY,3,,Fresh,Cyprinodontiformes,Poecilia reticulata,,Metazoan,Invertebrate,Insect,Diptera,flies,Drosophila spp.,Appendages and wings removed,Mean,Y,,,,1,,75000,1.05E+02,Average species mass,,1.02E+00,Alternate species mass,,m^3 per pred per day,0.56,2.75E+01,2.58E+01,2.89E+01,2.37E-11,2.34E-11,2.39E-11,200,,
Murdoch et al 1975 ECOLOGY,3,,Fresh,Cyprinodontiformes,Poecilia reticulata,,Metazoan,Invertebrate,Annelid,,tubificid worm,Tubifex spp.,,Mean,Y,,,,1,,75000,1.05E+02,Average species mass,,,,,m^3 per pred per day,0.71,4.25E+01,4.05E+01,4.45E+01,2.38E-11,2.37E-11,2.41E-11,200,,
Winkler and Orellana 1992 ENVIRMTAL BIOL OF FISHES,3,,Fresh ,Cypriniformes,Alburnus chalcoides,,Metazoan,Invertebrate,Crustacean,Copepod,Cyclops,Cyclops spp.,ovigerous,Mean,N,24,20,,1,,20000,5.20E+03,Original species length,Species,9.65E-02,Original species length,Order,m^3 per pred per day,0.91,3.74E+01,3.32E+01,4.21E+01,9.82E-06,6.52E-06,1.26E-05,200,,
Winkler and Orellana 1992 ENVIRMTAL BIOL OF FISHES,3,,Fresh,Cypriniformes,Alburnus chalcoides,,Metazoan,Invertebrate,Crustacean,Cladoceran,Daphnia,Daphnia hyalina,ovigerous,Mean,N,24,20,,1,,20000,5.20E+03,Original species length,Species,4.81E-01,Original species length,Order,m^3 per pred per day,0.89,1.35E+02,1.27E+02,1.43E+02,1.12E-05,1.07E-05,1.17E-05,200,,
Winkler and Orellana 1992 ENVIRMTAL BIOL OF FISHES,3,,Fresh,Cypriniformes,Alburnus chalcoides,,Metazoan,Invertebrate,Crustacean,Branchiopod,Spiny water flea,Bythotrephes longimanus,ovigerous,Mean,N,24,20,,1,,20000,5.20E+03,Original species length,Species,2.13E-01,Original species length,Order,m^3 per pred per day,0.88,1.27E+02,1.21E+02,1.33E+02,1.03E-05,9.76E-06,1.08E-05,200,,
Winkler and Orellana 1992 ENVIRMTAL BIOL OF FISHES,3,,Fresh,Cypriniformes,Alburnus chalcoides,,Metazoan,Invertebrate,Crustacean,Branchiopod,Water flea,Leptodora kindtii,ovigerous,Mean,N,24,20,,1,,20000,5.20E+03,Original species length,Species,8.24E-01,Original species length,Order,m^3 per pred per day,0.78,5.50E+01,4.57E+01,6.76E+01,2.91E-05,2.32E-05,3.53E-05,200,,
Winkler and Orellana 1992 ENVIRMTAL BIOL OF FISHES,3,,Fresh ,Cypriniformes,Vimba vimba,,Metazoan,Invertebrate,Crustacean,Copepod,Cyclops,Cyclops spp.,ovigerous,Mean,N,24,20,,1,,20000,6.29E+03,Original species length,Species,9.65E-02,Original species length,Order,m^3 per pred per day,0.77,2.72E+01,2.05E+01,3.55E+01,4.36E-05,2.80E-05,5.98E-05,200,,
Winkler and Orellana 1992 ENVIRMTAL BIOL OF FISHES,3,,Fresh,Cypriniformes,Vimba vimba,,Metazoan,Invertebrate,Crustacean,Branchiopod,Spiny water flea,Bythotrephes longimanus,ovigerous,Mean,N,24,20,,1,,20000,6.29E+03,Original species length,Species,2.13E-01,Original species length,Order,m^3 per pred per day,0.84,8.09E+01,7.13E+01,9.90E+01,2.03E-05,1.76E-05,2.40E-05,200,,
Winkler and Orellana 1992 ENVIRMTAL BIOL OF FISHES,3,,Fresh ,Cypriniformes,Vimba vimba,,Metazoan,Invertebrate,Crustacean,Branchiopod,Water flea,Leptodora kindtii,ovigerous,Mean,N,24,20,,1,,20000,6.29E+03,Original species length,Species,8.24E-01,Original species length,Order,m^3 per pred per day,0.72,3.71E+01,2.76E+01,4.87E+01,4.35E-05,2.77E-05,5.69E-05,200,,
Winkler and Orellana 1992 ENVIRMTAL BIOL OF FISHES,3,,Fresh,Cypriniformes,Abramis brama,,Metazoan,Invertebrate,Crustacean,Copepod,Cyclops,Cyclops spp.,ovigerous,Mean,N,24,20,,1,,20000,8.59E+03,Original species length,Species,9.65E-02,Original species length,Order,m^3 per pred per day,0.7,1.67E+01,1.27E+01,2.19E+01,3.05E-05,1.18E-05,5.29E-05,200,,
Winkler and Orellana 1992 ENVIRMTAL BIOL OF FISHES,3,,Fresh,Cypriniformes,Abramis brama,,Metazoan,Invertebrate,Crustacean,Branchiopod,Spiny water flea,Bythotrephes longimanus,ovigerous,Mean,N,24,20,,1,,20000,8.59E+03,Original species length,Species,2.13E-01,Original species length,Order,m^3 per pred per day,0.81,6.84E+01,5.98E+01,8.32E+01,2.33E-05,2.03E-05,2.61E-05,200,,
Winkler and Orellana 1992 ENVIRMTAL BIOL OF FISHES,3,,Fresh,Cypriniformes,Abramis brama,,Metazoan,Invertebrate,Crustacean,Branchiopod,Water flea,Leptodora kindtii,ovigerous,Mean,N,24,20,,1,,20000,8.59E+03,Original species length,Species,8.24E-01,Original species length,Order,m^3 per pred per day,0.7,3.29E+01,2.58E+01,4.29E+01,3.81E-05,2.63E-05,5.11E-05,200,,
Winkler and Orellana 1992 ENVIRMTAL BIOL OF FISHES,3,,Fresh,Cypriniformes,Rutilus rutilus,,Metazoan,Invertebrate,Crustacean,Copepod,Cyclops,Cyclops spp.,ovigerous,Mean,N,24,20,,1,,20000,6.99E+03,Original species length,Species,9.65E-02,Original species length,Order,m^3 per pred per day,0.79,3.13E+01,2.50E+01,3.91E+01,2.98E-05,1.99E-05,4.04E-05,200,,
Winkler and Orellana 1992 ENVIRMTAL BIOL OF FISHES,3,,Fresh ,Cypriniformes,Rutilus rutilus,,Metazoan,Invertebrate,Crustacean,Branchiopod,Spiny water flea,Bythotrephes longimanus,ovigerous,Mean,N,24,20,,1,,20000,6.99E+03,Original species length,Species,2.13E-01,Original species length,Order,m^3 per pred per day,0.76,8.71E+01,7.36E+01,1.04E+02,2.77E-05,2.43E-05,3.15E-05,200,,
Winkler and Orellana 1992 ENVIRMTAL BIOL OF FISHES,3,,Fresh,Cypriniformes,Scardinius erythrophthalmus,,Metazoan,Invertebrate,Crustacean,Branchiopod,Spiny water flea,Bythotrephes longimanus,ovigerous,Mean,N,24,20,,1,,20000,7.30E+03,Original species length,Species,2.13E-01,Original species length,Order,m^3 per pred per day,0.82,3.22E+01,2.64E+01,4.10E+01,2.28E-05,1.33E-05,3.25E-05,200,,
Bryan et al 1995 CANADIAN J OF FISHERIES AND AQUA SCIES,3,,Fresh,Perciformes,Lepomis macrochirus,juvenile,Metazoan,Invertebrate,Crustacean,Cladoceran,Daphnia,Daphnia pulex and D. magna,Large,Mean,N,18,23.7,,1,,24000,5.63E+02,Original species length,Species,1.15E+00,Original species length,Order,m^3 per pred per day,0.41,1.29E+02,9.19E+01,2.09E+02,4.66E-05,4.41E-05,4.97E-05,200,no cadmium,
Bryan et al 1995 CANADIAN J OF FISHERIES AND AQUA SCIES,3,,Fresh,Perciformes,Lepomis macrochirus,juvenile,Metazoan,Invertebrate,Crustacean,Cladoceran,Daphnia,Daphnia pulex and D. magna,Large,Mean,N,18,23.7,,1,,24000,5.63E+02,Original species length,Species,1.15E+00,Original species length,Order,m^3 per pred per day,0.59,6.53E+01,5.15E+01,8.53E+01,5.24E-05,4.95E-05,5.58E-05,200,30 ?g Cd/L,
Bryan et al 1995 CANADIAN J OF FISHERIES AND AQUA SCIES,3,,Fresh,Perciformes,Lepomis macrochirus,juvenile,Metazoan,Invertebrate,Crustacean,Cladoceran,Daphnia,Daphnia pulex and D. magna,Large,Mean,N,18,23.7,,1,,24000,5.63E+02,Original species length,Species,1.15E+00,Original species length,Order,m^3 per pred per day,0.77,3.56E+01,2.90E+01,4.49E+01,4.87E-05,4.54E-05,5.21E-05,200,60 ?g Cd/L,
Bryan et al 1995 CANADIAN J OF FISHERIES AND AQUA SCIES,3,,Fresh,Perciformes,Lepomis macrochirus,juvenile,Metazoan,Invertebrate,Crustacean,Cladoceran,Daphnia,Daphnia pulex and D. magna,Large,Mean,N,18,23.7,,1,,24000,5.63E+02,Original species length,Species,1.15E+00,Original species length,Order,m^3 per pred per day,0.6,6.67E+01,5.20E+01,8.73E+01,4.63E-05,4.35E-05,4.99E-05,200,120 ?g Cd/L,
Bryan et al 1995 CANADIAN J OF FISHERIES AND AQUA SCIES,3,,Fresh,Perciformes,Lepomis macrochirus,juvenile,Metazoan,Invertebrate,Crustacean,Cladoceran,Daphnia,Daphnia pulex and D. magna,Large,Mean,N,18,23.7,,1,,24000,5.63E+02,Original species length,Species,1.15E+00,Original species length,Order,m^3 per pred per day,0.03,4.61E+02,2.12E+02,6.90E+02,6.59E-05,6.23E-05,7.02E-05,200,240 ?g Cd/L,
Bryan et al 1995 CANADIAN J OF FISHERIES AND AQUA SCIES,3,,Fresh,Perciformes,Lepomis macrochirus,juvenile,Metazoan,Invertebrate,Crustacean,Cladoceran,Daphnia,Daphnia pulex and D. magna,Medium,Mean,N,18,23.7,,1,,24000,5.63E+02,Original species length,Species,2.96E-01,Original species length,Order,m^3 per pred per day,0.84,6.51E+01,5.88E+01,7.16E+01,1.93E-05,1.85E-05,2.02E-05,200,no cadmium,
Bryan et al 1995 CANADIAN J OF FISHERIES AND AQUA SCIES,3,,Fresh,Perciformes,Lepomis macrochirus,juvenile,Metazoan,Invertebrate,Crustacean,Cladoceran,Daphnia,Daphnia pulex and D. magna,Medium,Mean,N,18,23.7,,1,,24000,5.63E+02,Original species length,Species,2.96E-01,Original species length,Order,m^3 per pred per day,0.95,3.09E+01,2.69E+01,3.44E+01,1.97E-05,1.85E-05,2.09E-05,200,30 ?g Cd/L,
Bryan et al 1995 CANADIAN J OF FISHERIES AND AQUA SCIES,3,,Fresh,Perciformes,Lepomis macrochirus,juvenile,Metazoan,Invertebrate,Crustacean,Cladoceran,Daphnia,Daphnia pulex and D. magna,Medium,Mean,N,18,23.7,,1,,24000,5.63E+02,Original species length,Species,2.96E-01,Original species length,Order,m^3 per pred per day,0.83,6.72E+01,6.07E+01,7.57E+01,2.40E-05,2.29E-05,2.53E-05,200,60 ?g Cd/L,
Bryan et al 1995 CANADIAN J OF FISHERIES AND AQUA SCIES,3,,Fresh,Perciformes,Lepomis macrochirus,juvenile,Metazoan,Invertebrate,Crustacean,Cladoceran,Daphnia,Daphnia pulex and D. magna,Medium,Mean,N,18,23.7,,1,,24000,5.63E+02,Original species length,Species,2.96E-01,Original species length,Order,m^3 per pred per day,0.91,3.90E+01,3.49E+01,4.38E+01,2.73E-05,2.61E-05,2.91E-05,200,120 ?g Cd/L,
Bryan et al 1995 CANADIAN J OF FISHERIES AND AQUA SCIES,3,,Fresh,Perciformes,Lepomis macrochirus,juvenile,Metazoan,Invertebrate,Crustacean,Cladoceran,Daphnia,Daphnia pulex and D. magna,Medium,Mean,N,18,23.7,,1,,24000,5.63E+02,Original species length,Species,2.96E-01,Original species length,Order,m^3 per pred per day,0.92,4.35E+01,3.81E+01,4.82E+01,2.02E-05,1.91E-05,2.14E-05,200,240 ?g Cd/L,
Bryan et al 1995 CANADIAN J OF FISHERIES AND AQUA SCIES,3,,Fresh,Perciformes,Lepomis macrochirus,juvenile,Metazoan,Invertebrate,Crustacean,Cladoceran,Daphnia,Daphnia pulex and D. magna,Small,Mean,N,18,23.7,,1,,24000,5.63E+02,Original species length,Species,6.57E-02,Original species length,Order,m^3 per pred per day,0.95,3.62E+01,3.21E+01,3.96E+01,1.66E-05,1.57E-05,1.76E-05,200,no cadmium,
Bryan et al 1995 CANADIAN J OF FISHERIES AND AQUA SCIES,3,,Fresh,Perciformes,Lepomis macrochirus,juvenile,Metazoan,Invertebrate,Crustacean,Cladoceran,Daphnia,Daphnia pulex and D. magna,Small,Mean,N,18,23.7,,1,,24000,5.63E+02,Original species length,Species,6.57E-02,Original species length,Order,m^3 per pred per day,0.93,2.94E+01,2.68E+01,3.27E+01,2.47E-05,2.35E-05,2.62E-05,200,30 ?g Cd/L,
Bryan et al 1995 CANADIAN J OF FISHERIES AND AQUA SCIES,3,,Fresh,Perciformes,Lepomis macrochirus,juvenile,Metazoan,Invertebrate,Crustacean,Cladoceran,Daphnia,Daphnia pulex and D. magna,Small,Mean,N,18,23.7,,1,,24000,5.63E+02,Original species length,Species,6.57E-02,Original species length,Order,m^3 per pred per day,0.96,1.56E+01,1.38E+01,1.76E+01,2.24E-05,2.10E-05,2.40E-05,200,60 ?g Cd/L,
Bryan et al 1995 CANADIAN J OF FISHERIES AND AQUA SCIES,3,,Fresh,Perciformes,Lepomis macrochirus,juvenile,Metazoan,Invertebrate,Crustacean,Cladoceran,Daphnia,Daphnia pulex and D. magna,Small,Mean,N,18,23.7,,1,,24000,5.63E+02,Original species length,Species,6.57E-02,Original species length,Order,m^3 per pred per day,0.97,1.43E+01,1.30E+01,1.60E+01,1.97E-05,1.82E-05,2.14E-05,200,120 ?g Cd/L,
Bryan et al 1995 CANADIAN J OF FISHERIES AND AQUA SCIES,3,,Fresh,Perciformes,Lepomis macrochirus,juvenile,Metazoan,Invertebrate,Crustacean,Cladoceran,Daphnia,Daphnia pulex and D. magna,Small,Mean,N,18,23.7,,1,,24000,5.63E+02,Original species length,Species,6.57E-02,Original species length,Order,m^3 per pred per day,0.94,2.35E+01,2.14E+01,2.59E+01,2.15E-05,2.02E-05,2.30E-05,200,240 ?g Cd/L,
Sandheinrich and Atchison 1989 CJFAS,3,,Fresh,Perciformes,Lepomis macrochirus,Adult? A,Metazoan,Invertebrate,Crustacean,Cladoceran,Daphnia,Daphnia pulex,,Mean,N,18,21.5,,1,,60000,2.81E+03,Original species length,Species,3.53E-01,Average species mass,,m^3 per pred per day,0.71,1.20E+01,1.05E+01,1.36E+01,2.01E-05,1.90E-05,2.14E-05,200,5 ?g Cu/L,
Sandheinrich and Atchison 1989 CJFAS,3,,Fresh,Perciformes,Lepomis macrochirus,Adult? A,Metazoan,Invertebrate,Crustacean,Cladoceran,Daphnia,Daphnia pulex,,Mean,N,18,21.5,,1,,60000,2.81E+03,Original species length,Species,3.53E-01,Average species mass,,m^3 per pred per day,0.6,4.17E+00,2.91E+00,5.41E+00,3.65E-05,2.98E-05,4.10E-05,200,31 ?g Cu/L,
Sandheinrich and Atchison 1989 CJFAS,3,,Fresh,Perciformes,Lepomis macrochirus,Adult? A,Metazoan,Invertebrate,Crustacean,Cladoceran,Daphnia,Daphnia pulex,,Mean,N,18,21.5,,1,,60000,2.81E+03,Original species length,Species,3.53E-01,Average species mass,,m^3 per pred per day,0.63,7.82E+00,7.22E+00,8.39E+00,2.46E-05,2.31E-05,2.58E-05,200,180 ?g Cu/L,
Sandheinrich and Atchison 1989 CJFAS,3,,Fresh,Perciformes,Lepomis macrochirus,Adult? A,Metazoan,Invertebrate,Crustacean,Cladoceran,Daphnia,Daphnia pulex,,Mean,N,18,21.5,,1,,60000,2.81E+03,Original species length,Species,3.53E-01,Average species mass,,m^3 per pred per day,0.31,7.76E+00,6.96E+00,8.90E+00,5.57E-05,5.33E-05,5.88E-05,200,1710 ?g Cu/L,
Sandheinrich and Atchison 1989 CJFAS,3,,Fresh,Perciformes,Lepomis macrochirus,Adult? B,Metazoan,Invertebrate,Crustacean,Cladoceran,Daphnia,Daphnia magna,,Mean,N,18,21.5,,1,,60000,1.62E+03,Original species length,Species,9.90E-01,Average species mass,,m^3 per pred per day,0.75,6.57E+01,5.75E+01,7.25E+01,1.67E-05,1.58E-05,1.75E-05,200,5 ?g Cu/L,
Sandheinrich and Atchison 1989 CJFAS,3,,Fresh,Perciformes,Lepomis macrochirus,Adult? B,Metazoan,Invertebrate,Crustacean,Cladoceran,Daphnia,Daphnia magna,,Mean,N,18,21.5,,1,,60000,1.62E+03,Original species length,Species,9.90E-01,Average species mass,,m^3 per pred per day,0.77,5.45E+01,4.85E+01,6.02E+01,1.84E-05,1.73E-05,1.94E-05,200,31 ?g Cu/L,
Sandheinrich and Atchison 1989 CJFAS,3,,Fresh,Perciformes,Lepomis macrochirus,Adult? B,Metazoan,Invertebrate,Crustacean,Cladoceran,Daphnia,Daphnia magna,,Mean,N,18,21.5,,1,,60000,1.62E+03,Original species length,Species,9.90E-01,Average species mass,,m^3 per pred per day,0.84,2.76E+01,2.44E+01,3.18E+01,1.47E-05,1.36E-05,1.57E-05,200,180 ?g Cu/L,
Sandheinrich and Atchison 1989 CJFAS,3,,Fresh,Perciformes,Lepomis macrochirus,Adult? B,Metazoan,Invertebrate,Crustacean,Cladoceran,Daphnia,Daphnia magna,,Mean,N,18,21.5,,1,,60000,1.62E+03,Original species length,Species,9.90E-01,Average species mass,,m^3 per pred per day,0.62,5.26E+01,4.70E+01,5.87E+01,2.96E-05,2.81E-05,3.11E-05,200,1710 ?g Cu/L,
Sandheinrich and Atchison 1989 CJFAS,3,,Fresh,Perciformes,Lepomis macrochirus,Adult? C,Metazoan,Invertebrate,Crustacean,Amphipod,Amphipod,Hyalella azteca,,Mean,N,18,21.5,,1,,60000,1.23E+03,Original species length,Species,1.00E+00,Alternate species mass,,m^3 per pred per day,0.29,1.60E+00,1.27E+00,2.13E+00,2.50E-04,2.22E-04,2.85E-04,200,5 ?g Cu/L,
Sandheinrich and Atchison 1989 CJFAS,3,,Fresh,Perciformes,Lepomis macrochirus,Adult? C,Metazoan,Invertebrate,Crustacean,Amphipod,Amphipod,Hyalella azteca,,Mean,N,18,21.5,,1,,60000,1.23E+03,Original species length,Species,1.00E+00,Alternate species mass,,m^3 per pred per day,0.4,8.36E-01,6.75E-01,1.12E+00,2.79E-04,2.42E-04,3.27E-04,200,31 ?g Cu/L,
Sandheinrich and Atchison 1989 CJFAS,3,,Fresh,Perciformes,Lepomis macrochirus,Adult? C,Metazoan,Invertebrate,Crustacean,Amphipod,Amphipod,Hyalella azteca,,Mean,N,18,21.5,,1,,60000,1.23E+03,Original species length,Species,1.00E+00,Alternate species mass,,m^3 per pred per day,0.11,1.81E+00,1.37E+00,2.41E+00,4.04E-04,3.72E-04,4.36E-04,200,180 ?g Cu/L,
Sandheinrich and Atchison 1989 CJFAS,3,,Fresh,Perciformes,Lepomis macrochirus,Adult? C,Metazoan,Invertebrate,Crustacean,Amphipod,Amphipod,Hyalella azteca,,Mean,N,18,21.5,,1,,60000,1.23E+03,Original species length,Species,1.00E+00,Alternate species mass,,m^3 per pred per day,0.14,8.38E-01,6.42E-01,1.13E+00,6.91E-04,6.19E-04,7.66E-04,200,1710 ?g Cu/L,
Sandheinrich and Atchison 1989 CJFAS,3,,Fresh,Perciformes,Lepomis macrochirus,Adult? D,Metazoan,Invertebrate,Insect,Coenagrionidae,Damselfly naiads,Enallagma spp.,Small,Mean,N,18,21.5,,1,,60000,2.27E+03,Original species length,Species,3.32E+01,Original genus length,Order,m^3 per pred per day,0.06,2.00E+00,1.68E+00,2.47E+00,4.01E-04,3.70E-04,4.38E-04,200,5 ?g Cu/L,
Sandheinrich and Atchison 1989 CJFAS,3,,Fresh,Perciformes,Lepomis macrochirus,Adult? D,Metazoan,Invertebrate,Insect,Coenagrionidae,Damselfly naiads,Enallagma spp.,Small,Mean,N,18,21.5,,1,,60000,2.27E+03,Original species length,Species,3.32E+01,Original genus length,Order,m^3 per pred per day,0.27,7.08E-01,5.50E-01,8.84E-01,4.60E-04,3.90E-04,5.23E-04,200,31 ?g Cu/L,
