Source,Predator scientific name,Prey scientific name,duration,duration1,duration_notes,units,locale,country,country_notes
Czesny et al 2001 CANADIAN JOURNAL OF ZOOLOGY,Sander vitreus,Cyprinus carpio,NA,NA,NA,NA,NA,NA,NA
Munk and Ki?rboe 1985 MARINE ECOLOGY PROGRESS SERIES,Clupea harengus,Acartia tonsa,NA,NA,NA,NA,NA,NA,NA
Cowan et al 2016 CORAL REEFS,Acanthochromis polyacanthus,Acanthaster spp.,NA,NA,NA,NA,NA,NA,NA
Cowan et al 2016 CORAL REEFS,Abudefduf sexfasciatus,Acanthaster spp.,NA,NA,NA,NA,NA,NA,NA
Cowan et al 2016 CORAL REEFS,Chromis atripectoralis,Acanthaster spp.,NA,NA,NA,NA,NA,NA,NA
Cowan et al 2016 CORAL REEFS,Chromis viridis,Acanthaster spp.,NA,NA,NA,NA,NA,NA,NA
Cowan et al 2016 CORAL REEFS,Chrysiptera rollandi,Acanthaster spp.,NA,NA,NA,NA,NA,NA,NA
Cowan et al 2016 CORAL REEFS,Dascyllus aruanus,Acanthaster spp.,NA,NA,NA,NA,NA,NA,NA
Cowan et al 2016 CORAL REEFS,Dascyllus reticulatus,Acanthaster spp.,NA,NA,NA,NA,NA,NA,NA
Cowan et al 2016 CORAL REEFS,Neopomacentrus azysron,Acanthaster spp.,NA,NA,NA,NA,NA,NA,NA
Cowan et al 2016 CORAL REEFS,Pomacentrus moluccensis,Acanthaster spp.,NA,NA,NA,NA,NA,NA,NA
Cowan et al 2016 CORAL REEFS,Amblyglyphidodon curacao,Acanthaster spp.,NA,NA,NA,NA,NA,NA,NA
Cowan et al 2016 CORAL REEFS,Pomacentrus amboinensis,Acanthaster spp.,NA,NA,NA,NA,NA,NA,NA
Fitzsimons et al 2006 J OF GREAT LAKES RSRCH,Neogobius melanostomus,Salvelinus namaycush,NA,NA,NA,NA,NA,NA,NA
Fitzsimons et al 2006 J OF GREAT LAKES RSRCH,Cottus cognatus,Salvelinus namaycush,NA,NA,NA,NA,NA,NA,NA
Hyatt 1980 PHD THESIS UNIVERSITY OF BRITISH COLUMBIA,Oncorhynchus mykiss,Daphnia pulex,NA,NA,NA,NA,NA,NA,NA
Hyatt 1980 PHD THESIS UNIVERSITY OF BRITISH COLUMBIA,Oncorhynchus nerka,Daphnia pulex,NA,NA,NA,NA,NA,NA,NA
De Figueiredo et al 2007 J OF THE MARINE BIOL ASSOC OF THE UK,Platichthys flesus,Euplotes sp.,NA,NA,NA,NA,NA,NA,NA
